,1_P1-100-3,1_P1-20-3,1_P1-200-3,1_P1-300-3,1_P1-40-3,1_P1-60-3,2_P1-100-3,2_P1-20-3,2_P1-200-3,2_P1-300-3,2_P1-40-3,2_P1-60-3,3_P1-20-3,3_P1-200-3,3_P1-300-3,3_P1-40-3,3_P1-60-3,4_P1-90-3,4_P1-20-3,4_P1-100-3,4_P1-200-3,4_P1-40-3,4_P1-60-3,4_P1-300-3,5_P1-20-3,3_P1-90-3,5_P1-100-3,5_P1-200-3,5_P1-300-3,5_P1-40-3,5_P1-90-3,6_P1-100-3,6_P1-20-3,6_P1-200-3,6_P1-40-3,6_P1-60-3,6_P1-300-3,7_P1-20-3,7_P1-40-3,7_P1-60-3,10_P1-20-3,10_P1-40-3,7_P1-105-3,7_P1-200-3,7_P1-300-3,8_P1-100-3,8_P1-115-3,8_P1-20-3,8_P1-200-3,8_P1-250-3,8_P1-40-3,8_P1-60-3,9_P1-100-3,9_P1-120-3,9_P1-20-3,9_P1-200-3,9_P1-40-3,9_P1-500-3,9_P1-60-3,10_P1-100-3,10_P1-120-3,10_P1-200-3,10_P1-500-3,10_P1-60-3,11_P1-100-3,11_P1-20-3,11_P1-200-3,11_P1-40-3,11_P1-500-3,11_P1-60-3,11_P1-70-3,12_P1-100-3,12_P1-20-3,12_P1-200-3,12_P1-40-3,12_P1-500-3,12_P1-60-3,13_P1-100-3,13_P1-20-3,13_P1-200-3,13_P1-40-3,13_P1-500-3,13_P1-60-3,14_P1-100-3,14_P1-20-3,14_P1-200-3,14_P1-40-3,14_P1-500-3,14_P1-60-3,15_P1-100-3,15_P1-20-3,15_P1-200-3,15_P1-40-3,15_P1-500-3,15_P1-60-3,16_P1-20-3,16_P1-100-3,16_P1-200-3,16_P1-40-3,16_P1-500-3,16_P1-60-3,17_P1-100-3,17_P1-20-3,17_P1-40-3,17_P1-500-3,17_P1-60-3,18_P1-100-3,18_P1-20-3,18_P1-200-3,18_P1-40-3,18_P1-500-3,18_P1-60-3,19_P1-100-3,19_P1-20-3,19_P1-200-3,19_P1-40-3,19_P1-500-3,19_P1-60-3,12_P2-100-3,12_P2-20-3,12_P2-200-3,12_P2-300-3,12_P2-40-3,12_P2-60-3,15_P2-100-3,15_P2-20-3,15_P2-200-3,15_P2-300-3,15_P2-40-3,15_P2-60-3,17_P2-100-3,17_P2-20-3,17_P2-200-3,17_P2-300-3,17_P2-40-3,17_P2-60-3,6_P2-100-3,6_P2-20-3,6_P2-200-3,6_P2-300-3,6_P2-40-3,6_P2-60-3,8_P2-20-3,8_P2-200-3,8_P2-300-3,8_P2-40-3,8_P2-60-3,18_P2-100-3,18_P2-20-3,18_P2-200-3,18_P2-300-3,18_P2-40-3,18_P2-60-3,20_P2-100-3,20_P2-20-3,20_P2-200-3,20_P2-300-3,20_P2-40-3,20_P2-60-3
18_P1-200-3,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,0.76,1,1,1,0.99,1,0.98,1,1,0.89,0.99,1,0.99,0.92,0.5,0.99,1,0.86,1,0.91,1,1,-0.18,0.98,0.99,0.98,0.49,0.97,0.98,0.82,-0.14,0.99,1,0.92,0.88,-0.83,0.98,0.63,0.99,0.98,0.98,0.77,0.89,0.23,-0.14,0.49,0.99,0.96,-0.39,1,0.97,0.96,0.83,0.99,0.29,0.95,1,1,0.94,0.99,0.71,0.39,0.99,0.68,0.96,-0.44,0.69,-0.88,0.21,-0.69,0.82,-0.84,0.55,-0.98,0.68,-0.93,-0.92,-0.85,0.72,-0.83,-0.21,0.81,-0.65,-0.97,-0.13,-0.92,0.86,-0.88,-0.86,-0.07,-0.99,-0.93,-0.98,0.51,0,-0.85,-0.98,-0.82,-0.8,0.02,-0.91,0.26,-1,0.6,1,1,0.67,0.87,1,1,0.68,0.96,0.83,0.68,0.98,0.94,0.86,0.31,0.61,0.58,0.66,0.89,1,0.96,0.99,0.85,0.99,0.72,1,1,1,1,1,0.93,0.88,0.84,0.59,0.95,0.88,0.94,0.97,0.57,0.61,0.98,0.61
18_P1-40-3,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,0.97,1,0.99,1,0.99,0.99,1,1,0.98,0.98,0.88,1,0.99,0.92,1,0.95,0.99,1,0.52,0.99,0.98,0.99,0.65,0.99,0.97,0.91,0.16,0.96,1,0.79,0.98,-0.48,0.99,0.55,0.97,0.99,0.95,0.79,0.84,0.72,0.56,0.5,0.97,0.98,0.18,1,0.94,0.99,0.74,0.97,0.76,0.9,0.99,1,0.92,0.96,0.62,0.88,0.95,-0.11,0.75,-0.51,0.07,-0.59,0.03,-0.72,0.13,0.25,0.09,-0.89,0.28,-0.98,-1,0.08,-0.66,-0.03,-0.62,-0.41,-0.95,-0.1,-0.89,-0.69,-0.31,-0.94,-0.99,-0.98,-0.83,-0.65,-0.9,-0.75,-0.85,0,-0.48,-1,-0.45,-0.93,-0.75,-0.95,-0.87,-0.53,1,1,0.93,0.96,0.97,0.99,0.54,0.71,0.93,0.9,0.66,0.8,0.57,-0.07,0.68,0.74,0.01,0.25,1,0.98,0.99,0.98,1,0.93,1,1,1,1,1,0.39,0.22,0.89,0.84,0.34,0.3,0.8,0.84,0.83,0.92,0.77,0.61
18_P1-500-3,1,1,-0.02,0.93,1,1,1,1,0.86,0.98,1,1,1,0.98,0.1,1,1,1,0.96,1,0.96,1,0.96,0.5,0.99,1,0.94,0.57,0.71,1,0.98,0.45,0.98,0.5,0.99,1,-0.81,0.92,0.99,0.98,0.34,0.99,0.93,0.27,-0.56,0.95,1,0.86,-0.03,-0.95,0.99,0.51,0.97,0.9,0.92,-0.12,0.94,-0.26,-0.16,-0.87,0.98,0.28,-0.84,1,0.59,0.85,-0.9,0.99,-0.78,0.6,0.98,0.91,0.98,0.73,0.91,-0.83,1,0.35,0.92,-0.92,0.9,-0.99,0.06,-0.93,0.94,0.05,0.94,-1,0.98,-0.65,-0.65,-0.96,0.98,-1,0.13,1,-0.11,-0.71,0.61,-0.99,1,-1,-0.11,0.76,-1,-1,-1,0.99,-0.98,-0.48,0,-0.41,-0.99,0.77,-0.98,0.8,-1,0.95,1,1,-0.27,0.82,0.98,1,0.38,1,0.59,0.43,0.99,0.94,0.97,0.66,0.11,-0.3,0.86,0.98,1,0.95,0.97,0.55,0.98,0.61,1,1,0.99,1,1,0.78,0.93,0.6,0.55,0.98,0.91,0.96,0.99,0.3,0.28,1,0.95
18_P1-60-3,1,0.99,0.97,1,1,1,1,1,0.99,1,1,1,0.99,1,0.87,1,1,1,0.91,1,0.89,1,0.97,0.94,0.94,0.99,0.96,0.91,0.28,0.95,0.93,0.76,0.99,0.74,0.98,0.98,0.28,0.78,0.79,0.87,-0.11,0.75,0.83,0.68,-0.25,0.79,0.96,0.46,0.71,-0.79,0.9,0.01,0.85,0.88,0.77,0.62,0.46,-0.02,-0.16,0.59,0.75,0.81,-0.43,0.93,0.89,0.79,0.52,0.73,0.27,0.67,0.91,0.89,0.46,0.85,-0.26,0.45,0.68,-0.38,0.22,-0.4,-0.31,-0.37,-0.34,-0.88,-0.6,-0.34,-0.96,-0.69,-0.98,-0.99,-0.97,-0.62,-0.43,-0.69,-0.95,-0.7,-1,-0.37,-0.69,-0.59,-0.73,-1,-1,-0.98,-0.89,-0.97,-0.93,-0.85,-0.82,-1,-0.41,0,-0.83,-0.9,-0.64,-0.74,-0.9,-0.48,1,0.99,0.88,0.85,0.96,0.99,0.4,0.56,0.7,0.61,0.6,0.62,0.12,-0.11,0.34,0.56,-0.22,0.01,1,0.71,0.97,0.93,0.98,0.64,0.98,1,0.99,1,1,0.02,0.14,0.42,0.42,0.23,0.07,0.39,0.71,0.55,0.62,0.49,0.23
19_P1-100-3,0.97,0.91,0.27,0.85,0.97,1,0.9,0.95,0.71,0.87,0.92,1,0.83,0.85,0.03,0.96,1,0.95,0.4,0.96,0.44,0.85,0.61,0.41,0.69,0.86,0.47,0.35,0.13,0.77,0.49,0.05,0.9,0.14,0.66,0.85,-0.55,0.1,0.46,0.43,-0.03,0.4,0.35,-0.06,-0.69,0.27,0.68,0.03,0.05,-0.91,0,-0.42,0.29,0.17,0.16,-0.68,0.04,-0.69,-0.52,-0.19,0.45,-0.08,-0.88,0.67,-0.26,0.24,-0.75,0.45,-0.47,0,0.59,0.38,-0.11,-0.25,-0.12,-0.48,0.64,-0.22,0.19,-0.58,0.58,-0.59,0.12,-0.89,0.56,-0.32,0.6,-0.76,0.6,-0.95,-0.61,-0.87,0.37,-0.96,-0.93,0.69,-0.55,-0.53,-0.45,-0.64,0.68,-0.93,-0.92,-0.08,-1,-1,-1,0.29,-0.8,-0.45,-0.99,-0.83,0,0.01,-0.83,-0.15,-1,0.14,0.97,0.92,0.15,0.38,0.65,0.87,-0.02,0.8,0.35,0.15,0.63,0.59,0.86,0.62,0.32,0.01,0.22,0.81,0.85,0.5,0.53,0.31,0.7,0.18,0.82,0.96,0.87,0.88,0.91,0.64,0.64,0.49,0.67,0.69,0.77,0.65,0.8,0.16,0.43,0.82,0.86
19_P1-20-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,0.99,1,1,1,1,0.99,1,1,0.99,0.99,0.91,1,0.99,0.98,1,0.99,1,1,0.66,1,1,1,0.69,1,0.98,0.99,0.43,0.99,1,0.87,1,0.08,1,0.85,1,1,0.98,0.98,0.98,0.9,0.84,0.99,0.99,1,0.64,1,1,1,0.93,0.99,0.96,0.97,1,1,0.98,1,0.84,0.97,0.96,0.05,0.84,0.66,0.86,0.63,0.83,0.61,-0.33,0.86,0.05,0.03,0.29,-0.53,-0.83,0.6,-0.94,0.41,-0.24,-1,-0.69,0.74,-0.98,0.68,-0.89,0.25,-1,-1,-0.05,-0.39,-0.03,-1,0.02,-0.93,0.77,-0.9,0.01,0,0.36,-1,-0.46,-0.93,1,1,0.93,0.98,0.96,0.99,0.68,0.52,0.93,0.92,0.56,0.81,0.65,0.02,0.79,0.76,-0.47,-0.34,1,0.99,0.99,0.99,1,0.95,1,1,1,1,0.99,0.42,-0.06,0.88,0.93,-0.06,-0.18,0.79,0.67,0.87,0.96,0.56,0.75
19_P1-200-3,1,1,0.96,1,1,1,1,1,0.99,1,1,1,1,1,0.82,1,1,1,1,1,0.99,1,1,0.9,0.99,1,1,0.89,0.48,0.99,1,0.86,1,0.94,1,1,-0.08,0.98,1,0.97,0.31,0.98,0.99,0.83,-0.05,0.99,1,0.93,0.88,-0.75,0.97,0.72,0.99,0.97,0.99,0.71,0.92,0.32,0.01,0.34,0.99,0.96,-0.34,1,0.95,0.94,0.79,0.99,0.35,0.96,1,0.99,0.93,0.97,0.66,0.38,0.99,0.58,0.98,-0.55,0.68,-0.94,0.17,-0.82,0.96,-0.87,0.77,-0.94,0.81,-0.66,-0.81,-0.58,0.92,-0.8,0.15,0.92,-0.46,-0.83,0.41,-0.94,0.94,-0.89,-0.54,0.37,-0.98,-0.93,-0.98,0.81,-0.91,-0.75,-0.98,-0.64,-0.83,0.36,0,0.5,-1,0.86,1,1,0.27,0.91,0.99,1,0.25,0.98,0.56,0.72,0.97,0.94,0.87,0.33,0.4,0.29,0.81,0.88,1,0.97,1,0.71,1,0.62,1,1,1,1,1,0.83,0.9,0.62,0.45,0.95,0.83,0.96,0.96,0.38,0.65,0.99,0.59
19_P1-40-3,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,0.95,1,1,1,0.99,0.97,1,1,0.97,0.95,0.85,1,0.98,0.95,1,0.98,0.98,1,0.56,1,0.99,0.99,0.74,0.99,0.95,0.96,0.21,0.97,1,0.75,1,0.27,1,0.74,0.99,1,0.95,0.94,0.93,0.79,0.72,1,0.99,1,0.38,0.99,0.99,1,0.96,0.98,0.97,0.92,0.99,1,0.97,0.99,0.88,0.98,0.94,0.42,0.8,0.8,0.86,0.75,0.88,0.62,-0.1,0.85,0.09,0.39,-0.07,-0.59,-0.76,0.62,-0.85,0.51,-0.67,-1,-0.54,0.83,-0.98,0.73,-0.96,0.28,-1,-1,0.04,-0.23,0.11,-1,0.26,-0.95,0.8,-0.74,-0.15,-1,0.5,0,-0.32,-0.79,1,0.99,0.78,0.89,0.94,0.99,0.46,0.4,0.87,0.79,0.48,0.7,0.78,0.15,0.85,0.64,-0.19,-0.07,1,0.96,0.99,0.97,1,0.87,0.99,1,1,1,0.99,0.63,-0.08,0.84,0.94,-0.11,0.02,0.77,0.48,0.71,0.95,0.42,0.7
19_P1-500-3,0.97,0.67,0.01,0.93,0.98,1,0.95,0.92,0.34,0.83,0.96,1,0.88,0.89,-0.2,0.79,1,0.96,0.52,0.88,-0.16,0.91,0.77,0.05,0.08,0.91,0.61,-0.11,-0.79,0.05,0.55,-0.29,0.88,-0.16,0.7,0.62,-0.71,-0.07,0.2,-0.31,-0.82,-0.08,0.23,-0.52,-0.86,0.33,0.66,-0.06,-0.13,-0.97,0.1,-0.56,0.19,0.3,0.23,-0.19,-0.22,-0.74,-0.97,-0.64,0.04,0,-0.96,0.58,0.05,-0.48,-0.26,0.31,-0.49,0.14,0.44,-0.32,-0.16,-0.32,-0.54,-0.95,0.41,-0.33,-0.02,-0.79,-0.04,-0.99,-0.83,-0.94,0.3,-0.92,-0.36,-0.9,-0.49,-0.85,-0.77,-0.85,0.35,-1,-0.82,0.25,-0.68,-0.93,-0.28,-0.84,0.35,-0.98,-0.97,-0.56,-1,-1,-1,-0.19,-1,-0.87,-1,-0.9,-1,-0.46,-1,-0.32,0,0.03,0.77,0.94,-0.41,0.36,0.65,0.88,-0.2,0.85,0,-0.24,0.79,0.37,0.56,0.07,-0.18,-0.57,0,0.4,0.89,0.06,0.65,-0.13,0.76,-0.44,0.78,0.94,0.8,0.77,0.94,0.25,0.23,-0.2,-0.04,0.33,0.18,0.3,0.39,-0.43,-0.01,0.78,0.18
19_P1-60-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,0.86,1,1,1,0.95,1,1,1,0.69,1,1,0.97,1,0.68,1,0.95,1,1,1,1,0.99,0.95,0.93,1,1,1,0.74,1,1,1,1,1,1,1,1,1,0.97,1,0.92,1,0.98,0.78,0.85,0.93,0.94,0.96,0.94,0.79,-0.83,0.97,0.29,0.84,0.22,-0.41,-0.53,0.87,-0.94,0.82,-0.1,-1,0.06,0.96,-0.7,0.94,-0.97,0.4,-0.96,-0.87,0.49,-0.07,0.35,-0.97,0.6,-0.53,0.95,-0.48,0.14,-0.93,0.86,-0.79,0.03,0,1,0.99,0.98,0.98,0.98,1,0.78,0.44,0.92,0.94,0.64,0.84,0.54,0.27,0.96,0.89,-0.45,-0.33,1,1,1,1,1,0.98,1,1,1,1,1,0.78,0.37,0.96,0.99,0.05,0.22,0.84,0.74,0.89,1,0.56,0.85
12_P2-100-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,0.96,1,1,1,0.94,0.98,1,1,0.98,1,1,1,1,0.37,1,1,1,1,1,1,1,0.43,1,1,1,1,0.94,1,1,1,1,1,0.98,1,0.98,0.94,1,1,1,0.97,1,0.88,1,1,1,1,0.98,1,1,1,0.99,1,1,1,0.91,1,1,1,0.99,1,1,1,1,1,1,1,0.99,1,1,1,0.96,1,1,1,1,0.99,1,1,1,1,1,1,0.96,1,1,1,1,1,1,0.97,1,1,1,0.77,1,0,1,-0.94,-0.46,0.99,0,-0.1,1,0.9,0.73,1,1,0.99,0.98,0.42,-0.16,1,1,0.94,0.94,0.68,-0.68,0.9,0.68,0.85,0.65,0.85,0.99,0.99,0.99,1,0.97,0.94,1,1,1,1,0.76,0.85,1,1
12_P2-20-3,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,0.86,1,1,1,0.98,1,1,1,0.93,0.98,1,1,1,1,0.99,1,1,0.99,1,1,1,1,0.91,1,1,1,1,1,0.97,1,0.55,0.99,1,0.99,1,0.83,1,0.98,1,1,1,0.98,0.99,0.98,0.93,1,1,1,0.92,1,0.99,0.25,1,-0.35,1,0.89,1,1,0.91,0.99,0.91,1,0.93,0.98,0.9,1,0.97,1,0.97,1,1,1,1,0.99,1,0.94,0.98,1,1,0.99,1,1,1,1,0.87,1,1,1,1,1,0.99,0.89,0.98,1,1,1,1,0.99,0.92,1,1,0.99,0.94,0.99,1,0,0.55,0.2,-1,-0.61,0.27,0.4,0.99,0.83,0.33,0.75,0.99,0.9,0.93,0.81,0.73,0.95,0.53,0.58,0.95,0.28,0.38,0.78,-0.58,1,0.99,-0.69,-1,0.97,0.89,0.99,0.99,0.88,0.98,0.96,0.84,0.96,0.97,0.77,0.98
12_P2-200-3,1,0.96,0.48,0.97,1,1,1,1,0.3,0.99,1,1,0.99,0.93,-0.36,0.49,1,0.99,0.91,0.97,0.54,0.99,0.87,-0.71,-0.04,0.98,0.85,-0.84,-0.83,-0.09,0.9,-0.3,0.99,0.5,0.96,0.98,-0.83,0.99,0.98,0.72,-0.42,0.99,0.72,0.12,-0.48,0.97,0.99,0.88,0.78,-0.04,0.95,0.77,0.98,0.98,0.96,0.67,0.96,0.62,-0.32,0.81,0.98,0.94,-0.1,0.97,0.95,0.84,0.93,0.98,0.81,0.9,0.99,0.88,0.98,0.96,0.93,0.02,0.96,0.93,0.97,0.62,0.98,-0.7,0.47,0.81,0.99,-0.29,0.86,0.58,0.95,0.82,0.84,0.74,0.99,-0.65,0.92,1,0.93,0.72,0.75,0.76,1,0.82,0.94,0.95,0.05,0.27,0.49,0.97,0.67,0.93,-0.27,0.88,0.15,0.93,0.27,0.78,-0.41,0.98,-0.94,0.55,0,-0.79,0.49,0.48,-0.24,0.7,-0.86,-0.71,0.72,0.11,0.41,-0.21,-0.73,-0.99,0.24,0.26,0.82,0.3,0.22,-0.97,0.38,-0.95,0.08,0.04,-0.21,0.25,0.62,-0.3,0.09,-0.81,-0.63,0.4,-0.3,0.4,-0.42,-0.93,-0.59,0.78,-0.61
12_P2-300-3,1,0.99,0.82,0.93,1,1,0.99,1,0.97,0.98,1,1,1,0.91,-0.18,1,1,0.99,0.93,1,0.44,0.99,0.51,0.28,0.93,0.97,0.65,0.46,0.54,0.92,0.91,0.44,1,0.46,0.91,0.98,-0.07,0.91,0.89,0.95,0.88,0.99,0.51,0.52,-0.57,0.89,0.98,0.87,-0.23,-0.09,0.99,0.59,0.94,0.79,0.9,-0.11,0.96,-0.27,-0.43,0.9,0.94,0.62,0.16,0.95,0.86,0.99,0.73,0.99,0.52,0.8,0.98,1,1,0.98,0.99,0.51,1,0.85,0.98,0.93,1,0.64,0.98,0.9,0.99,0.96,1,0.5,1,0.53,0.8,0.54,0.99,0.46,0.96,1,0.89,0.9,0.71,0.78,1,0.94,0.94,0.98,0.7,0.42,0.63,1,0.87,0.96,0.82,0.85,0.38,0.98,0.91,0.89,0.36,0.98,-0.46,0.2,-0.79,0,0.59,0.26,0.1,0.88,0.56,-0.64,0.79,0.61,-0.04,-0.16,-0.61,-0.31,0.44,0.45,0.57,-0.1,-0.41,-0.97,-0.2,-0.16,-0.81,-0.09,-0.44,0.18,0.34,0.51,0.39,0.47,-0.33,0.57,0.81,0.6,0.89,0.37,-0.7,0.96,0.86
12_P2-40-3,1,0.99,1,1,0.95,0.29,1,1,1,1,1,1,0.99,1,0.89,1,1,1,0.94,1,1,0.99,0.96,0.96,1,1,0.99,0.98,0.95,1,0.98,0.97,1,0.99,0.99,1,0.79,1,1,1,0.94,0.99,0.95,0.99,0.68,0.98,0.97,0.92,1,0.75,0.99,0.95,0.99,0.99,0.96,0.99,0.84,0.98,0.85,0.98,1,1,0.77,0.97,0.99,-0.35,1,-0.53,1,0.82,0.97,0.99,0.64,0.99,0.51,1,0.61,0.96,0.8,0.99,0.85,0.94,0.86,0.98,0.98,0.99,1,0.97,0.99,0.96,0.95,0.97,0.98,0.86,0.98,0.98,0.99,1,0.84,0.99,1,0.98,0.96,0.97,0.9,0.72,0.86,0.99,1,0.97,0.98,0.96,0.65,0.96,0.99,0.94,0.65,0.98,0.99,-1,0.49,0.59,0,-0.67,0.11,0.11,0.8,0.76,0.21,0.49,0.99,0.76,0.89,0.81,0.57,0.9,0.68,-0.42,0.93,0.65,-0.59,0.25,-0.8,0.99,0.99,-0.95,-0.91,0.98,0.87,0.97,0.99,0.84,0.9,0.96,0.53,0.58,0.98,0.47,0.86
12_P2-60-3,0.99,1,1,1,1,0.93,0.99,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,0.97,0.99,1,0.99,0.99,1,0.98,1,1,0.97,1,1,0.99,1,0.94,1,1,1,0.99,1,0.92,1,0.75,0.99,0.97,0.99,1,0.82,1,0.97,1,0.99,1,1,1,0.99,0.94,0.99,1,1,0.88,1,0.91,0.89,1,0.51,1,0.56,0.8,0.75,0.12,0.83,0.09,1,-0.01,0.76,0.62,0.99,0.6,1,0.63,0.99,1,1,1,1,1,0.98,0.99,0.99,1,0.96,1,1,1,1,0.85,1,1,1,0.99,0.99,0.99,0.85,0.96,1,1,0.99,1,0.99,0.87,0.99,1,0.99,0.88,1,0,-0.61,0.48,0.26,-0.67,0,-0.25,0.41,0.95,0.76,0.29,0.38,0.97,0.78,0.91,0.83,0.7,0.84,0.3,0.72,0.92,0.56,0.58,0.71,0.2,0.97,0.97,0.19,0.19,0.96,0.83,0.97,0.99,0.86,0.93,0.91,0.68,0.83,0.97,0.65,0.71
15_P2-100-3,1,1,0.94,1,1,1,1,1,0.99,1,1,1,1,1,0.38,0.99,1,1,0.93,0.99,0.97,1,0.94,0.58,0.94,0.99,0.93,0.59,0.48,0.95,0.97,0.64,0.99,0.76,0.98,1,0.13,1,1,0.97,0.51,1,0.85,0.81,0,0.99,0.98,0.94,0.97,0.22,0.98,0.93,1,1,1,0.94,0.98,0.88,0.46,0.93,1,1,0.26,1,0.96,0.94,0.99,0.92,0.94,0.88,0.98,0.73,0.54,0.79,0.52,0.82,0.61,0.16,0.35,0.12,0.42,0.29,-0.08,0.69,0.59,0.3,0.54,0.64,0.26,0.46,0.66,0.55,0.75,-0.04,0.69,0.87,0.63,0.46,0.43,0.69,0.77,0.43,0.77,0.76,0.08,0.24,0.43,0.76,0.68,0.54,0.38,0.4,-0.02,0.68,0.25,0.46,-0.2,0.78,-0.1,0.27,-0.24,0.1,0.11,-0.25,0,-0.42,-0.9,-0.56,-0.54,-0.9,-0.53,-0.58,-0.17,-0.21,-0.33,-0.72,0.93,0.85,0.9,0.01,0.72,0.13,0.67,0.82,0.86,0.49,0.57,-0.85,-0.36,-0.32,-0.24,-0.33,-0.5,-0.97,-0.58,-0.5,-0.24,-0.35,-0.68
15_P2-20-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,0.9,1,1,0.99,0.97,0.99,1,1,0.99,0.99,1,1,0.98,0.99,0.99,1,0.95,1,0.93,1,1,1,0.99,1,1,1,0.91,1,1,0.98,1,0.95,1,0.99,1,1,1,1,1,1,0.99,1,1,1,0.97,1,1,1,1,0.94,1,0.97,1,1,0.75,0.98,0.71,1,0.75,0.62,0.19,0.93,0.69,0.99,0.55,0.99,0.84,1,0.97,0.98,0.95,0.54,0.64,0.98,0.64,0.97,0.9,0.81,0.73,1,-0.1,0.99,0.86,0.95,0.83,0.69,0.94,0.72,0.89,0.81,0.96,0.71,1,0.56,0.8,0.52,0.98,0.4,0.85,0.44,1,0.4,0.7,0.88,0.11,0.41,-0.42,0,0.85,0.94,-1,-0.95,0.89,0.47,0.97,0.86,-0.33,0.45,0.92,0.99,0.99,0.96,0.96,0.97,0.96,1,1,0.94,0.78,0.74,0.47,0.97,1,0.39,0.49,0.55,-1,0.84,1,-1,-0.85
15_P2-200-3,1,0.99,0.81,1,1,1,1,1,0.3,1,1,1,1,1,0.59,0.89,1,1,0.99,1,0.99,1,1,0.38,0.91,1,0.99,-0.02,-0.56,0.75,1,0.73,1,0.98,1,1,-0.47,1,1,0.99,0.41,1,0.99,0.92,0.14,1,1,0.99,0.99,0.58,1,0.96,1,1,1,0.99,1,0.95,0.66,1,1,1,0.65,1,1,0.99,1,1,0.99,1,1,0.99,1,1,0.98,0.95,0.99,0.76,0.99,0.74,0.99,-0.05,0.86,0.95,0.99,-0.54,0.98,0.79,0.99,0.43,0.87,0.84,0.97,0.26,0.96,0.99,0.86,0.84,0.76,0.89,0.98,0.88,0.95,0.95,0.6,0.46,0.71,0.96,0.83,0.93,0.59,0.7,0.35,0.93,0.56,0.87,0,0.92,0.9,0.99,-0.86,0.56,0.8,0.95,-0.9,0.85,0,-0.12,0.75,0.54,0.89,0.5,0.39,-0.93,0.59,0.84,1,0.88,0.95,0.1,0.9,-0.22,0.93,0.99,0.95,0.97,0.98,0.31,0.81,-0.64,0.31,0.87,0.69,0.48,0.67,-0.99,0.43,0.92,-0.24
15_P2-300-3,1,0.96,0.79,1,1,1,1,1,0.79,0.99,1,1,1,0.99,-0.11,0.98,1,1,0.96,1,0.95,1,0.91,0.56,0.97,1,0.93,0.74,0.01,0.94,0.98,0.76,1,0.95,0.98,1,-0.25,1,1,0.99,0.64,1,0.96,0.89,-0.08,0.99,1,0.95,0.86,0.15,1,0.85,1,0.99,0.98,0.9,0.99,0.67,0.3,0.97,1,0.99,0.11,1,0.96,0.99,0.9,1,0.89,0.94,1,1,0.99,0.98,0.98,0.85,1,0.69,0.99,0.78,1,0.41,0.95,0.85,0.99,0.62,1,0.37,1,0.33,0.6,0.41,1,0.09,0.91,1,0.81,0.73,0.75,0.66,0.99,0.86,0.89,0.92,0.3,0.11,0.44,0.97,0.68,0.9,0.43,0.61,0.15,0.92,0.72,0.79,-0.24,0.94,0.73,0.83,-0.71,-0.64,0.76,0.76,-0.56,0.94,-0.12,0,0.89,0.59,0.07,-0.91,-0.63,-0.82,0.31,0.52,0.78,-0.85,0.23,-0.3,0.11,-0.27,-0.4,0.7,-0.03,0.63,0.65,0.28,0.43,0.24,-0.19,0.75,0.76,0.55,0.85,-0.24,-0.59,0.97,0.47
15_P2-40-3,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,0.97,1,1,1,0.95,1,1,1,0.98,0.99,1,1,0.98,0.99,0.99,1,0.99,0.98,0.99,1,0.96,1,0.91,1,1,1,0.99,1,0.99,1,0.9,0.99,1,0.97,1,0.92,1,0.99,1,1,1,1,0.99,0.99,0.99,1,1,1,0.94,1,1,0.99,1,0.94,1,0.97,1,0.99,0.73,0.99,0.71,1,0.73,0.64,0.2,0.92,0.53,0.99,0.32,0.94,0.82,0.98,0.94,0.97,0.89,0.49,0.66,0.97,0.65,0.94,0.87,0.79,0.83,0.99,0.06,0.99,0.84,0.87,0.77,0.69,0.87,0.58,0.77,0.76,0.98,0.66,0.99,0.6,0.63,0.56,0.97,0.48,0.79,0.64,1,0.33,0.72,0.79,0.21,0.29,-0.54,-1,0.75,0.89,0,-1,0.79,0.32,0.94,0.84,-0.11,0.25,0.92,0.98,0.98,0.93,0.89,0.94,0.92,1,1,0.9,0.69,0.78,0.31,0.92,0.98,0.24,0.39,0.43,-1,0.75,0.99,-1,-1
